                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 2.0328,                 2.3056,                 1.6041,                 1.3472,                0.43616,                0.39525,                0.36311,                0.13768,                0.40748,                0.37423,                0.34188,                0.08593,                 2.1196,                 3.0639,                 1.7042,                 1.4896,               0.005644,               0.005644,               0.005644
                     24,                 2.0061,                 2.2888,                 1.5353,                 1.3234,                0.42942,                0.37325,                0.35501,                0.14508,                0.40409,                0.35787,                0.31013,                0.08687,                  2.154,                 3.0848,                 1.8069,                 1.4667,               0.005446,               0.005446,               0.005446
                     25,                 1.9957,                 2.2723,                 1.5527,                 1.3229,                0.40582,                0.50272,                0.38718,                0.15064,                0.36619,                0.36848,                0.30767,                0.08079,                 2.0622,                 2.8523,                 1.6127,                 1.4374,               0.005248,               0.005248,               0.005248
                     26,                 1.9606,                 2.2777,                 1.5423,                 1.3054,                0.42225,                0.41412,                0.37206,                0.13648,                0.40345,                0.34564,                0.31116,                0.07967,                 2.0866,                 2.9413,                 1.7187,                 1.4512,                0.00505,                0.00505,                0.00505
                     27,                 1.9548,                 2.2663,                 1.4885,                 1.2932,                0.44222,                0.46626,                0.39176,                 0.1507,                0.41363,                0.32974,                0.29268,                0.07889,                 2.1054,                 3.2549,                 1.6995,                 1.4459,               0.004852,               0.004852,               0.004852
                     28,                 1.9208,                 2.2146,                 1.4811,                 1.2807,                0.43566,                0.42025,                0.36635,                0.13512,                0.37297,                0.29232,                0.23728,                0.06252,                 2.2931,                 3.8875,                 1.8412,                 1.4719,               0.004654,               0.004654,               0.004654
                     29,                 1.9478,                 2.2251,                 1.4625,                 1.2881,                0.46585,                0.44246,                 0.4144,                0.16507,                0.44265,                 0.3695,                0.33441,                0.09116,                 2.0624,                 3.3084,                 1.5935,                 1.4048,               0.004456,               0.004456,               0.004456
                     30,                 1.9327,                 2.2218,                 1.4479,                 1.2742,                 0.4713,                0.46089,                  0.411,                0.16028,                0.43681,                0.35017,                0.30725,                0.08546,                 2.1404,                 3.0251,                  1.721,                 1.4225,               0.004258,               0.004258,               0.004258
                     31,                 1.9057,                 2.2139,                 1.4294,                 1.2712,                0.44545,                 0.4094,                0.38806,                0.15186,                0.37606,                0.35553,                0.30162,                 0.0803,                 2.1388,                 3.2452,                 1.7282,                 1.4157,                0.00406,                0.00406,                0.00406
                     32,                 1.8931,                 2.1839,                 1.4291,                 1.2628,                0.45114,                0.42585,                 0.3804,                0.14823,                0.34548,                0.31524,                0.25393,                0.06541,                 2.1996,                 3.3436,                 1.6787,                 1.4412,               0.003862,               0.003862,               0.003862
                     33,                 1.8877,                 2.1383,                 1.4078,                  1.267,                0.40887,                0.44714,                0.41132,                0.16004,                0.39183,                0.34856,                0.29383,                0.08147,                 2.1651,                 3.0809,                 1.6354,                 1.4461,               0.003664,               0.003664,               0.003664
                     34,                  1.883,                 2.1698,                 1.4028,                 1.2626,                0.50355,                0.40196,                  0.425,                0.16751,                0.46505,                 0.3453,                0.34224,                0.09125,                 2.0939,                  3.076,                 1.6144,                  1.426,               0.003466,               0.003466,               0.003466
                     35,                   1.83,                 2.1173,                 1.3768,                 1.2476,                0.46499,                0.45763,                0.42839,                 0.1698,                0.39975,                0.39791,                0.33749,                0.09347,                 2.0887,                 2.9351,                  1.654,                 1.4429,               0.003268,               0.003268,               0.003268
                     36,                 1.8262,                 2.0835,                 1.3564,                 1.2454,                0.57625,                0.38816,                0.43652,                0.16806,                0.56246,                0.35621,                0.37992,                0.10209,                 2.1066,                  3.137,                   1.66,                 1.4338,                0.00307,                0.00307,                0.00307
                     37,                 1.8272,                 2.1311,                 1.3513,                 1.2317,                0.47444,                0.43496,                0.40961,                0.15438,                0.40117,                0.32323,                0.27904,                0.07404,                 2.2373,                 3.3228,                 1.6926,                 1.4618,               0.002872,               0.002872,               0.002872
                     38,                 1.8318,                 2.0471,                 1.3341,                  1.239,                0.49299,                0.40836,                0.40855,                0.16097,                0.48258,                0.37278,                0.37006,                0.10391,                 2.1298,                 2.9865,                 1.6127,                 1.4426,               0.002674,               0.002674,               0.002674
                     39,                 1.8015,                 2.0838,                 1.2995,                 1.2167,                0.47389,                0.44212,                0.41187,                0.15922,                0.40312,                0.36925,                0.32404,                 0.0909,                 2.1622,                 3.1801,                 1.6757,                 1.4368,               0.002476,               0.002476,               0.002476
